gutenberg_id	updated	repo_name	repo_owner	datebuilt	version	ebooks_in_release_count	last_build_id	last_build_state	buildable	has_metadata	has_source	metadata_written
84	2016-08-03T18:44:21.676257-07:00	Frankenstein_84	GITenberg	2016-07-27T21:38:22Z	0.2.1	3	147879598	passed	True	True	True	2016-08-03T18:44:21.676238-07:00
85	2016-08-07T14:35:30.050437-07:00	The-Beasts-of-Tarzan_85	GITenberg	2016-08-05T18:47:07.602696-07:00	0.1.0	3	150208556	passed	True	True	True	2016-08-04T08:58:38.291748-07:00
86	2016-08-07T14:35:35.148215-07:00	A-Connecticut-Yankee-in-King-Arthur-s-Court_86	GITenberg	2016-08-05T18:47:14.166701-07:00	0.1.0	3	150208567	passed	True	True	True	2016-08-04T08:58:42.234434-07:00
87	2017-01-27T15:43:07.680408-08:00	The-1993-CIA-World-Factbook_87	GITenberg	2017-01-27T15:43:07.680209-08:00	0.1.0	0	150208577	errored	True	True	True	2016-08-04T08:58:44.328560-07:00
88	2017-01-27T15:43:16.320917-08:00	Price-Cost-Indexes-from-1875-to-1989--Estimated-to-2010_88	GITenberg	2017-01-27T15:43:16.320770-08:00	0.1.0	0	150208579	errored	True	True	True	2016-08-04T08:58:46.825231-07:00
90	2016-08-07T14:35:45.380183-07:00	The-Son-of-Tarzan_90	GITenberg	2016-08-05T18:47:37.445021-07:00	0.1.0	3	150208590	passed	True	True	True	2016-08-04T08:58:52.869589-07:00
91	2016-08-07T14:35:48.699565-07:00	Tom-Sawyer-Abroad_91	GITenberg	2016-08-05T18:47:44.632628-07:00	0.1.0	3	150208592	passed	True	True	True	2016-08-04T08:58:56.504046-07:00
92	2017-01-27T15:43:26.388771-08:00	Tarzan-and-the-Jewels-of-Opar_92	GITenberg	2017-01-27T15:43:26.388596-08:00	0.1.0	0	150208594	errored	True	True	True	2016-08-04T08:58:59.176975-07:00
93	2016-08-07T14:35:53.574310-07:00	Tom-Sawyer-Detective_93	GITenberg	2016-08-05T18:47:57.122842-07:00	0.1.0	0	150208600	errored	True	True	True	2016-08-04T08:59:03.353020-07:00
94	2016-08-07T14:35:57.380285-07:00	Alexander-s-Bridge_94	GITenberg	2016-08-05T18:48:03.988579-07:00	0.1.0	0	150208602	errored	True	True	True	2016-08-04T08:59:08.125664-07:00
